Event_ID,Year,Jurisdiction,Governance_Level,Macro_Category,Governance_Architecture,Redistribution_Type,Source_URL,Source_Quote,Coding_Rationale
V-035,2025,LaGrange,Subnational,MORATORIUM,Constraint,Spatial,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-036,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://holtecinternational.com/2025/10/20/hh-40-22/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-037,2025,Singapore,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.reedsmith.com/articles/singapores-data-centre-expansion-jurong-island-sustainable-growth/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-038,2025,Singapore,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.kwm.com/global/en/insights/latest-thinking/singapore-launches-200mw-data-centre-call-for-application-dc-cfa2.html,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-039,2025,US,National,MORATORIUM,Constraint,Spatial,https://www.npr.org/2025/12/09/nx-s1-5637532/environmental-groups-call-for-a-moratorium-on-data-center-construction,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-040,2025,US,National,MORATORIUM,Constraint,Spatial,https://www.datacenterknowledge.com/build-design/calls-for-us-data-center-freeze-grow-as-local-enthusiasm-melts,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-041,2025,Ireland,National,MORATORIUM,Constraint,Spatial,https://www.energyconnects.com/news/utilities/2025/december/ireland-ends-moratorium-on-new-power-links-to-data-centers/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-042,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.michiganpublic.org/environment-climate-change/2025-12-17/palisades-nuclear-plant-restart-plans-pushed-back-to-early-2026,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-043,2025,Starke County,Subnational,MORATORIUM,Constraint,Spatial,https://www.techpolicy.press/the-real-race-for-an-ai-moratorium-stopping-data-centers/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-044,2025,DeKalb County,Subnational,MORATORIUM,Constraint,Spatial,https://www.datacenterknowledge.com/build-design/calls-for-us-data-center-freeze-grow-as-local-enthusiasm-melts,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-045,2026,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.nucnet.org/news/meta-announces-6-6-gw-of-nuclear-energy-projects-to-power-ai-revolution-1-5-2026,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-046,2026,Virginia,Subnational,MORATORIUM,Constraint,Spatial,https://www.datacenterdynamics.com/en/news/virginia-house-of-delegates-may-consider-temporary-data-center-moratorium/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-047,2025,Chandler,Subnational,SITING_CONTROL,Constraint,Spatial,https://prospect.org/2025/12/22/demands-for-data-center-moratoriums-surge/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-048,2025,Leesburg,Subnational,SITING_CONTROL,Constraint,Spatial,https://prospect.org/2025/12/22/demands-for-data-center-moratoriums-surge/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-049,2024,Burns Harbor,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.datacenterwatch.org/report,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-050,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://trellis.net/article/amazon-google-meta-and-microsoft-go-nuclear/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-051,2022,Netherlands,National,MORATORIUM,Constraint,Spatial,https://www.datacenterdynamics.com/en/news/facebook-parent-meta-officially-kills-zeewolde-data-center-after-pushback-in-the-netherlands/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-052,2022,Zeewolde,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.datacenterdynamics.com/en/news/facebook-parent-meta-officially-kills-zeewolde-data-center-after-pushback-in-the-netherlands/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-053,2022,Netherlands,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://datacentremagazine.com/articles/the-change-driven-by-europes-data-centre-build-restrictions,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-054,2023,Japan,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.nippon.com/en/japan-data/h02619/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-055,2024,Japan,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.nippon.com/en/japan-data/h02183/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-056,2024,Japan,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.nippon.com/en/japan-data/h02183/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-057,2024,Japan,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.nucnet.org/news/new-economy-minister-calls-for-as-many-reactor-restarts-as-possible-10-3-2024,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-058,2024,Japan,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.nippon.com/en/japan-data/h02619/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-059,2025,Japan,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.nippon.com/en/japan-data/h02619/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-060,2025,Japan,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.cnn.com/2025/12/22/asia/japan-nuclear-reactor-restart-kashiwazaki-kariwa-intl-hnk,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-061,2026,Japan,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.powermag.com/japan-prepares-to-restart-unit-at-worlds-largest-nuclear-power-plant/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-062,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.constellationenergy.com/newsroom/2025/constellation-meta-sign-20-year-deal-for-clean-reliable-nuclear-energy-in-illinois.html,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-063,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://blog.google/feed/infrastructureduane-arnold-nuclear-plant-iowa/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-064,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.ans.org/news/2025-10-28/article-7501/nextera-and-google-ink-a-deal-to-restart-duane-arnold/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-065,2025,US,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.utilitydive.com/news/nextera-google-nuclear-earnings/804308/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-066,2020,US,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.powermag.com/derecho-damage-results-in-early-retirement-of-duane-arnold-nuclear-power-plant/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-067,2019,US,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.nucnet.org/news/nextera-and-amazon-sign-agreement-to-restart-duane-arnold-nuclear-power-plant-10-2-2025,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-068,2024,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.ans.org/news/2025-10-28/article-7501/nextera-and-google-ink-a-deal-to-restart-duane-arnold/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-069,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.ans.org/news/2025-10-28/article-7501/nextera-and-google-ink-a-deal-to-restart-duane-arnold/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-070,2024,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.utilitydive.com/news/meta-constellation-illinois-clinton-nuclear-ppa-support-ai-goals/749992/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-071,2025,Prince George's County,Subnational,MORATORIUM,Constraint,Spatial,https://www.techpolicy.press/local-governments-are-learning-how-to-negotiate-with-data-center-developers/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-072,2025,San Marcos,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.techpolicy.press/local-governments-are-learning-how-to-negotiate-with-data-center-developers/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-073,2025,Tucson,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.techpolicy.press/local-governments-are-learning-how-to-negotiate-with-data-center-developers/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-074,2025,Birmingham,Subnational,MORATORIUM,Constraint,Spatial,https://www.datacenterknowledge.com/build-design/calls-for-us-data-center-freeze-grow-as-local-enthusiasm-melts,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-075,2025,Howell,Subnational,MORATORIUM,Constraint,Spatial,https://bridgemi.com/michigan-environment-watch/at-least-19-michigan-towns-pause-data-centers-no-one-knows-if-itll-work/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-076,2025,Michigan,Subnational,MORATORIUM,Constraint,Spatial,https://bridgemi.com/michigan-environment-watch/at-least-19-michigan-towns-pause-data-centers-no-one-knows-if-itll-work/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-077,2025,US,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://truthout.org/articles/as-towns-and-cities-fight-off-data-centers-calls-grow-for-a-national-moratorium/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-079,2024,Virginia,Subnational,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.datacenterdynamics.com/en/news/virginia-house-of-delegates-may-consider-temporary-data-center-moratorium/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-080,2025,US,National,MORATORIUM,Constraint,Spatial,https://www.techpolicy.press/the-real-race-for-an-ai-moratorium-stopping-data-centers/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-081,2024,Korea,National,GRID_REGULATION,Constraint,Sectoral,https://www.cushmanwakefield.com/en/south-korea/insights/south-korea-data-center-industry,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-082,2024,Korea,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.cushmanwakefield.com/en/south-korea/insights/south-korea-data-center-industry,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-083,2024,Korea,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.cushmanwakefield.com/en/south-korea/insights/south-korea-data-center-industry,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-084,2024,Korea,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://practiceguides.chambers.com/practice-guides/power-generation-transmission-distribution-2025/south-korea/trends-and-developments,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-085,2024,Korea,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.datacenterdynamics.com/en/news/ls-electric-korea-hydro-and-nuclear-power-corporation-ink-smr-powered-ai-data-center-mou/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-086,2025,Korea,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://world-nuclear.org/information-library/country-profiles/countries-o-s/south-korea,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-087,2025,Korea,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://world-nuclear.org/information-library/country-profiles/countries-o-s/south-korea,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-088,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://x-energy.com/media/news-releases/x-energy-amazon-korea-hydro-amp-nuclear-power-and-doosan-enerbility-announce-partnership-to-scale-advanced-nuclear-energy-for-ai-infrastructure,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-089,2024,UK,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://commonslibrary.parliament.uk/research-briefings/cbp-10315/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-090,2024,UK,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.womblebonddickinson.com/uk/insights/articles-and-briefings/evolution-planning-consent-data-centres,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-091,2024,England,Subnational,REGULATORY_FRAMEWORK,Steering,Temporal,https://researchbriefings.files.parliament.uk/documents/CBP-10315/CBP-10315.pdf,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-092,2025,England,Subnational,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.datacenterdynamics.com/en/news/planning-permission-for-buckinghamshire-data-center-likely-to-be-quashed-after-uk-government-admits-serious-logical-error/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-093,2025,UK,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.womblebonddickinson.com/uk/insights/articles-and-briefings/evolution-planning-consent-data-centres,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-094,2025,UK,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://datacentrereview.com/2025/11/uk-parliament-backs-nsip-status-for-data-centres/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-095,2025,London,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.london.gov.uk/sites/default/files/2025-12/Planning%20Regeneration%20Committee%20-%20Energy%20Infrastructure%20Report%20FINAL.pdf,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-096,2025,Scotland,Subnational,MORATORIUM,Constraint,Spatial,https://www.ercs.scot/news/data-centres-in-the-scottish-planning-system-would-double-scotlands-energy-demands-press-release/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-097,2023,Germany,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.datacenterdynamics.com/en/news/germany-expected-to-pass-energy-efficiency-act-this-week-with-data-center-restrictions/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-098,2024,Germany,National,GRID_REGULATION,Steering,Sectoral,https://www.mayerbrown.com/en/insights/publications/2024/02/sustainable-data-centers-the-german-energy-efficiency-act-what-data-center-operators-need-to-consider-now-and-in-the-future,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-099,2024,Germany,National,GRID_REGULATION,Steering,Sectoral,https://www.twobirds.com/en/insights/2024/impact-of-the-energy-efficiency-directive-and-the-energy-efficiency-act-on-companies-especially-data,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-100,2025,France,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.datacenterdynamics.com/en/analysis/france-ai-data-center-build-out-emmanuel-macron/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-101,2025,France,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.world-nuclear-news.org/articles/france-tempts-ai-firms-with-its-nuclear-electricity,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-102,2025,France,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.world-nuclear-news.org/articles/france-tempts-ai-firms-with-its-nuclear-electricity,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-103,2024,Australia,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.hsfkramer.com/notes/energy/2024-posts/Is-Nuclear-Power-the-solution-to-Australia-s-Energy-Transition-,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-104,2025,Australia,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.energycouncil.com.au/analysis/2025-another-year-full-of-energy-developments/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-105,2024,Korea,National,GRID_REGULATION,Constraint,Sectoral,https://practiceguides.chambers.com/practice-guides/power-generation-transmission-distribution-2025/south-korea/trends-and-developments,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-106,2025,Canada,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.canada.ca/en/nuclear-safety-commission/news/2025/04/decision-by-the-commission-to-authorize-ontario-power-generation-inc-to-construct-1-bwrx-300-reactor-at-the-darlington-new-nuclear-project-site.html,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-107,2025,Ontario,Subnational,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.ans.org/news/2025-05-12/article-7014/opg-gets-final-permission-to-construct-first-north-american-smr/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-108,2025,Ontario,Subnational,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.powermag.com/canada-approves-first-grid-scale-smr-construction-at-darlington/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-109,2025,Australia,National,GRID_REGULATION,Steering,Sectoral,https://www.pv-magazine-australia.com/2025/07/11/powering-australias-data-centre-boom-navigating-energy-compliance-and-opportunity/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-110,2025,Australia,National,GRID_REGULATION,Steering,Sectoral,https://www.aemc.gov.au/news-centre/media-releases/aemc-modernises-grid-connection-rules-accelerate-energy-transition-manage-ai-boom,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-111,2025,Australia,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://w.media/australia-to-update-grid-rules-amid-surging-data-centre-demand/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-112,2025,Ontario,Subnational,REGULATORY_FRAMEWORK,Steering,Temporal,https://ero.ontario.ca/notice/025-1001,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-113,2025,Alberta,Subnational,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.alberta.ca/powering-new-pathways-for-data-centres,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-114,2022,China,National,REGULATORY_FRAMEWORK,Steering,Spatial,https://www.china-briefing.com/news/china-data-centers-new-cross-regional-plan-to-boost-computing-power-across-regions/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
